GO.ID	Term	Annotated	Significant	Expected	KS
GO:0048455	stamen formation	5	5	5	0.04179
GO:0050665	hydrogen peroxide biosynthetic process	80	80	80	0.04183
GO:0006552	leucine catabolic process	5	5	5	0.04331
GO:0006152	purine nucleoside catabolic process	5	5	5	0.04429
GO:0009560	embryo sac egg cell differentiation	139	139	139	0.04462
GO:0032527	protein exit from endoplasmic reticulum	3	3	3	0.04482
GO:0010106	cellular response to iron ion starvation	114	114	114	0.04516
GO:0009408	response to heat	277	277	277	0.04521
GO:0042631	cellular response to water deprivation	62	62	62	0.04542
GO:0033306	phytol metabolic process	2	2	2	0.04557
GO:0005982	starch metabolic process	230	230	230	0.04614
GO:0048480	stigma development	3	3	3	0.04662
GO:0030422	production of siRNA involved in RNA interference	139	139	139	0.04696
GO:0015991	ATP hydrolysis coupled proton transport	4	4	4	0.04826
GO:0009640	photomorphogenesis	226	226	226	0.04865
GO:0007000	nucleolus organization	24	24	24	0.04908
GO:0006099	tricarboxylic acid cycle	12	12	12	0.04910
GO:0046622	positive regulation of organ growth	2	2	2	0.04936
GO:0006635	fatty acid beta-oxidation	167	167	167	0.04938
GO:0009920	cell plate formation involved in plant-type cell wall biogenesis	6	6	6	0.04981
GO:0010452	histone H3-K36 methylation	3	3	3	0.05012
GO:0048574	long-day photoperiodism, flowering	23	23	23	0.05104
GO:0042752	regulation of circadian rhythm	44	44	44	0.05138
GO:0009887	animal organ morphogenesis	108	108	108	0.05222
GO:0048439	flower morphogenesis	66	66	66	0.05258
GO:2000032	regulation of secondary shoot formation	2	2	2	0.05266
GO:0010951	negative regulation of endopeptidase activity	5	5	5	0.05289
GO:0051457	maintenance of protein location in nucleus	3	3	3	0.05379
GO:0051276	chromosome organization	690	690	690	0.05386
GO:0010253	UDP-rhamnose biosynthetic process	4	4	4	0.05600
GO:0042398	cellular modified amino acid biosynthetic process	53	53	53	0.05724
GO:0010498	proteasomal protein catabolic process	196	196	196	0.05822
GO:0016121	carotene catabolic process	2	2	2	0.05923
GO:0016124	xanthophyll catabolic process	2	2	2	0.05923
GO:0018315	molybdenum incorporation into molybdenum-molybdopterin complex	2	2	2	0.05943
GO:0009686	gibberellin biosynthetic process	33	33	33	0.05974
GO:0043248	proteasome assembly	176	176	176	0.06023
GO:0010311	lateral root formation	33	33	33	0.06082
GO:0048509	regulation of meristem development	212	212	212	0.06087
GO:0007568	aging	140	140	140	0.06120
GO:0048479	style development	2	2	2	0.06147
GO:0048451	petal formation	67	67	67	0.06154
GO:0048453	sepal formation	67	67	67	0.06154
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	123	123	123	0.06215
GO:0080028	nitrile biosynthetic process	4	4	4	0.06298
GO:0042754	negative regulation of circadian rhythm	3	3	3	0.06304
GO:0006598	polyamine catabolic process	38	38	38	0.06310
GO:0019432	triglyceride biosynthetic process	12	12	12	0.06700
GO:0007017	microtubule-based process	258	258	258	0.06714
GO:0010351	lithium ion transport	34	34	34	0.06771
GO:0045723	positive regulation of fatty acid biosynthetic process	2	2	2	0.06840
GO:0080111	DNA demethylation	4	4	4	0.06951
GO:0009738	abscisic acid-activated signaling pathway	234	234	234	0.07027
GO:0015693	magnesium ion transport	2	2	2	0.07058
GO:0006900	membrane budding	3	3	3	0.07064
GO:0045995	regulation of embryonic development	5	5	5	0.07153
GO:0006809	nitric oxide biosynthetic process	5	5	5	0.07211
GO:1900864	mitochondrial RNA modification	14	14	14	0.07213
GO:0006914	autophagy	69	69	69	0.07278
GO:0006468	protein phosphorylation	679	679	679	0.07314
GO:0010163	high-affinity potassium ion import	3	3	3	0.07320
GO:0071452	cellular response to singlet oxygen	6	6	6	0.07360
GO:0019538	protein metabolic process	2836	2836	2836	0.07379
GO:0009636	response to toxic substance	30	30	30	0.07397
GO:0030974	thiamine pyrophosphate transport	2	2	2	0.07416
GO:0006970	response to osmotic stress	814	814	814	0.07464
GO:0055069	zinc ion homeostasis	24	24	24	0.07502
GO:0009755	hormone-mediated signaling pathway	704	704	704	0.07544
GO:0080119	ER body organization	5	5	5	0.07545
GO:0000478	endonucleolytic cleavage involved in rRNA processing	16	16	16	0.07618
GO:0045604	regulation of epidermal cell differentiation	2	2	2	0.07713
GO:0002238	response to molecule of fungal origin	32	32	32	0.08019
GO:0032025	response to cobalt ion	2	2	2	0.08069
GO:0010618	aerenchyma formation	3	3	3	0.08121
GO:0006102	isocitrate metabolic process	8	8	8	0.08134
GO:0006334	nucleosome assembly	17	17	17	0.08255
GO:0019745	pentacyclic triterpenoid biosynthetic process	40	40	40	0.08274
GO:0016573	histone acetylation	13	13	13	0.08278
GO:0006413	translational initiation	48	48	48	0.08313
GO:0009751	response to salicylic acid	452	452	452	0.08398
GO:0006572	tyrosine catabolic process	3	3	3	0.08432
GO:0051604	protein maturation	66	66	66	0.08477
GO:0010431	seed maturation	162	162	162	0.08554
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	3	3	3	0.08602
GO:2000024	regulation of leaf development	12	12	12	0.08685
GO:0031538	negative regulation of anthocyanin metabolic process	3	3	3	0.08696
GO:0010338	leaf formation	6	6	6	0.08758
GO:0006997	nucleus organization	80	80	80	0.08793
GO:0009832	plant-type cell wall biogenesis	160	160	160	0.08910
GO:0006537	glutamate biosynthetic process	3	3	3	0.08945
GO:0006101	citrate metabolic process	15	15	15	0.08993
GO:0055074	calcium ion homeostasis	32	32	32	0.09031
GO:0071732	cellular response to nitric oxide	20	20	20	0.09039
GO:0009642	response to light intensity	271	271	271	0.09104
GO:0048467	gynoecium development	202	202	202	0.09142
GO:0009972	cytidine deamination	2	2	2	0.09217
GO:2000034	regulation of seed maturation	12	12	12	0.09218
GO:2000031	regulation of salicylic acid mediated signaling pathway	7	7	7	0.09363
GO:0035265	organ growth	14	14	14	0.09378
GO:0019953	sexual reproduction	245	245	245	0.09432
GO:0007623	circadian rhythm	163	163	163	0.09436
GO:0009957	epidermal cell fate specification	15	15	15	0.09462
GO:0006744	ubiquinone biosynthetic process	23	23	23	0.09517
GO:0044265	cellular macromolecule catabolic process	549	549	549	0.09538
GO:0031507	heterochromatin assembly	12	12	12	0.09590
GO:0045787	positive regulation of cell cycle	28	28	28	0.09606
GO:0006521	regulation of cellular amino acid metabolic process	12	12	12	0.09637
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8	8	8	0.09810
GO:0010439	regulation of glucosinolate biosynthetic process	6	6	6	0.09820
GO:0042938	dipeptide transport	4	4	4	0.09868
GO:0071333	cellular response to glucose stimulus	8	8	8	0.09910
GO:0010030	positive regulation of seed germination	15	15	15	0.10045
GO:0010623	programmed cell death involved in cell development	4	4	4	0.10045
GO:0080092	regulation of pollen tube growth	8	8	8	0.10130
GO:1902000	homogentisate catabolic process	3	3	3	0.10166
GO:0044030	regulation of DNA methylation	7	7	7	0.10180
GO:0009094	L-phenylalanine biosynthetic process	8	8	8	0.10184
GO:0009266	response to temperature stimulus	886	886	886	0.10240
GO:0040008	regulation of growth	280	280	280	0.10349
GO:0010098	suspensor development	3	3	3	0.10378
GO:0009620	response to fungus	476	476	476	0.10538
GO:0006826	iron ion transport	119	119	119	0.10691
GO:0007275	multicellular organism development	3067	3067	3067	0.10700
GO:0016926	protein desumoylation	79	79	79	0.10736
GO:0006370	7-methylguanosine mRNA capping	4	4	4	0.10744
GO:0006741	NADP biosynthetic process	2	2	2	0.10813
GO:0042539	hypotonic salinity response	2	2	2	0.10873
GO:0008152	metabolic process	8427	8427	8427	0.11100
GO:0009915	phloem sucrose loading	3	3	3	0.11139
GO:0045927	positive regulation of growth	11	11	11	0.11210
GO:0047484	regulation of response to osmotic stress	4	4	4	0.11214
GO:0006611	protein export from nucleus	70	70	70	0.11374
GO:0009739	response to gibberellin	141	141	141	0.11377
GO:0009684	indoleacetic acid biosynthetic process	104	104	104	0.11406
GO:2000379	positive regulation of reactive oxygen species metabolic process	5	5	5	0.11672
GO:0009908	flower development	805	805	805	0.11675
GO:0042594	response to starvation	287	287	287	0.11788
GO:0010359	regulation of anion channel activity	33	33	33	0.11828
GO:0051176	positive regulation of sulfur metabolic process	3	3	3	0.11852
GO:0000723	telomere maintenance	63	63	63	0.11910
GO:0006605	protein targeting	858	858	858	0.11976
GO:0006352	DNA-templated transcription, initiation	16	16	16	0.12018
GO:0017157	regulation of exocytosis	2	2	2	0.12044
GO:0051650	establishment of vesicle localization	3	3	3	0.12045
GO:1900056	negative regulation of leaf senescence	5	5	5	0.12065
GO:0010322	regulation of isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	3	3	3	0.12089
GO:0019761	glucosinolate biosynthetic process	169	169	169	0.12123
GO:0080110	sporopollenin biosynthetic process	3	3	3	0.12211
GO:0000154	rRNA modification	2	2	2	0.12257
GO:0009627	systemic acquired resistance	421	421	421	0.12300
GO:0008643	carbohydrate transport	30	30	30	0.12900
GO:0051017	actin filament bundle assembly	11	11	11	0.12918
GO:1900150	regulation of defense response to fungus	6	6	6	0.12924
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	3	3	3	0.12997
GO:0055047	generative cell mitosis	2	2	2	0.13069
GO:0006777	Mo-molybdopterin cofactor biosynthetic process	6	6	6	0.13126
GO:0010072	primary shoot apical meristem specification	42	42	42	0.13183
GO:0015074	DNA integration	2	2	2	0.13328
GO:0005986	sucrose biosynthetic process	13	13	13	0.13363
GO:0010120	camalexin biosynthetic process	11	11	11	0.13486
GO:0015937	coenzyme A biosynthetic process	8	8	8	0.13531
GO:0010599	production of lsiRNA involved in RNA interference	3	3	3	0.13640
GO:1900030	regulation of pectin biosynthetic process	1	1	1	0.13646
GO:2000039	regulation of trichome morphogenesis	1	1	1	0.13699
GO:0031129	inductive cell-cell signaling	1	1	1	0.13699
GO:0070328	triglyceride homeostasis	1	1	1	0.13777
GO:0055091	phospholipid homeostasis	1	1	1	0.13777
GO:0055089	fatty acid homeostasis	1	1	1	0.13777
GO:0009095	aromatic amino acid family biosynthetic process, prephenate pathway	11	11	11	0.13811
GO:0006886	intracellular protein transport	942	942	942	0.13817
GO:0007067	mitotic nuclear division	62	62	62	0.13869
GO:0051568	histone H3-K4 methylation	10	10	10	0.13887
GO:0006360	transcription from RNA polymerase I promoter	3	3	3	0.13915
GO:0045595	regulation of cell differentiation	63	63	63	0.13928
GO:0050994	regulation of lipid catabolic process	5	5	5	0.13932
GO:0043388	positive regulation of DNA binding	1	1	1	0.13936
GO:0034263	positive regulation of autophagy in response to ER overload	1	1	1	0.14001
GO:1901562	response to paraquat	1	1	1	0.14032
GO:0009069	serine family amino acid metabolic process	255	255	255	0.14076
GO:0030397	membrane disassembly	1	1	1	0.14121
GO:0051336	regulation of hydrolase activity	16	16	16	0.14136
GO:0045168	cell-cell signaling involved in cell fate commitment	3	3	3	0.14139
GO:0051554	flavonol metabolic process	8	8	8	0.14156
GO:0019374	galactolipid metabolic process	94	94	94	0.14159
GO:0043462	regulation of ATPase activity	1	1	1	0.14201
GO:0034508	centromere complex assembly	2	2	2	0.14256
GO:0051177	meiotic sister chromatid cohesion	4	4	4	0.14256
GO:0010154	fruit development	654	654	654	0.14353
GO:0019566	arabinose metabolic process	2	2	2	0.14364
GO:0045185	maintenance of protein location	8	8	8	0.14382
GO:0031508	pericentric heterochromatin assembly	1	1	1	0.14479
GO:0007112	male meiosis cytokinesis	2	2	2	0.14492
GO:0048766	root hair initiation	6	6	6	0.14519
GO:0018105	peptidyl-serine phosphorylation	2	2	2	0.14567
GO:0015692	lead ion transport	3	3	3	0.14588
GO:1900000	regulation of anthocyanin catabolic process	1	1	1	0.14588
GO:0048443	stamen development	134	134	134	0.14600
GO:0071461	cellular response to redox state	2	2	2	0.14647
GO:0015827	tryptophan transport	1	1	1	0.14691
GO:0015810	aspartate transport	1	1	1	0.14691
GO:0080091	regulation of raffinose metabolic process	2	2	2	0.14744
GO:0010133	proline catabolic process to glutamate	1	1	1	0.14812
GO:0010413	glucuronoxylan metabolic process	181	181	181	0.14833
GO:0032260	response to jasmonic acid stimulus involved in jasmonic acid and ethylene-dependent systemic resistance	3	3	3	0.14948
GO:0031935	regulation of chromatin silencing	7	7	7	0.14956
GO:0018279	protein N-linked glycosylation via asparagine	1	1	1	0.14994
GO:1901527	abscisic acid-activated signaling pathway involved in stomatal movement	1	1	1	0.15030
GO:1901528	hydrogen peroxide mediated signaling pathway involved in stomatal movement	1	1	1	0.15030
GO:1901529	positive regulation of anion channel activity	1	1	1	0.15030
GO:0010398	xylogalacturonan metabolic process	1	1	1	0.15161
GO:0006631	fatty acid metabolic process	400	400	400	0.15161
GO:0006497	protein lipidation	155	155	155	0.15199
GO:0034090	maintenance of meiotic sister chromatid cohesion	1	1	1	0.15244
GO:0007160	cell-matrix adhesion	2	2	2	0.15255
GO:0000374	Group III intron splicing	1	1	1	0.15284
GO:0080143	regulation of amino acid export	6	6	6	0.15317
GO:0010941	regulation of cell death	393	393	393	0.15337
GO:0016049	cell growth	566	566	566	0.15390
GO:0045338	farnesyl diphosphate metabolic process	5	5	5	0.15397
GO:0036290	protein trans-autophosphorylation	1	1	1	0.15556
GO:0034214	protein hexamerization	2	2	2	0.15589
GO:0048438	floral whorl development	399	399	399	0.15704
GO:0006559	L-phenylalanine catabolic process	3	3	3	0.15705
GO:0032107	regulation of response to nutrient levels	3	3	3	0.15783
GO:0043620	regulation of DNA-templated transcription in response to stress	3	3	3	0.15787
GO:0046500	S-adenosylmethionine metabolic process	5	5	5	0.15813
GO:0006979	response to oxidative stress	460	460	460	0.15860
GO:0015744	succinate transport	1	1	1	0.15888
GO:0006127	glycerophosphate shuttle	1	1	1	0.15955
GO:0006121	mitochondrial electron transport, succinate to ubiquinone	6	6	6	0.15956
GO:0080179	1-methylguanosine metabolic process	1	1	1	0.15959
GO:0090431	alkyl caffeate ester biosynthetic process	1	1	1	0.15997
GO:0009880	embryonic pattern specification	44	44	44	0.16045
GO:0017183	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	1	1	1	0.16057
GO:0048437	floral organ development	489	489	489	0.16069
GO:0051049	regulation of transport	172	172	172	0.16365
GO:0045492	xylan biosynthetic process	182	182	182	0.16386
GO:0070291	N-acylethanolamine metabolic process	1	1	1	0.16423
GO:0009723	response to ethylene	330	330	330	0.16425
GO:0005987	sucrose catabolic process	4	4	4	0.16458
GO:0033473	indoleacetic acid conjugate metabolic process	1	1	1	0.16485
GO:0010602	regulation of 1-aminocyclopropane-1-carboxylate metabolic process	1	1	1	0.16501
GO:0006772	thiamine metabolic process	6	6	6	0.16510
GO:0006278	RNA-dependent DNA biosynthetic process	7	7	7	0.16648
GO:0010480	microsporocyte differentiation	2	2	2	0.16711
GO:0006593	ornithine catabolic process	1	1	1	0.16729
GO:0032211	negative regulation of telomere maintenance via telomerase	1	1	1	0.16764
GO:0009051	pentose-phosphate shunt, oxidative branch	6	6	6	0.16774
GO:2000117	negative regulation of cysteine-type endopeptidase activity	1	1	1	0.16827
GO:0009969	xyloglucan biosynthetic process	6	6	6	0.16828
GO:0009801	cinnamic acid ester metabolic process	2	2	2	0.16831
GO:0034059	response to anoxia	4	4	4	0.16837
GO:0019484	beta-alanine catabolic process	1	1	1	0.16847
GO:0006541	glutamine metabolic process	6	6	6	0.16848
GO:0010476	gibberellin mediated signaling pathway	67	67	67	0.16869
GO:0009700	indole phytoalexin biosynthetic process	12	12	12	0.16884
GO:0071215	cellular response to abscisic acid stimulus	246	246	246	0.16920
GO:0060918	auxin transport	97	97	97	0.16976
GO:0035281	pre-miRNA export from nucleus	1	1	1	0.16976
GO:0007130	synaptonemal complex assembly	2	2	2	0.17050
GO:0046939	nucleotide phosphorylation	192	192	192	0.17053
GO:0051791	medium-chain fatty acid metabolic process	1	1	1	0.17122
GO:0010111	glyoxysome organization	1	1	1	0.17222
GO:0010256	endomembrane system organization	199	199	199	0.17233
GO:0016197	endosomal transport	34	34	34	0.17237
GO:1901349	glucosinolate transport	2	2	2	0.17241
GO:0090449	phloem glucosinolate loading	2	2	2	0.17241
GO:0010273	detoxification of copper ion	1	1	1	0.17305
GO:0000045	autophagosome assembly	1	1	1	0.17333
GO:0046110	xanthine metabolic process	1	1	1	0.17349
GO:2000026	regulation of multicellular organismal development	500	500	500	0.17349
GO:0042554	superoxide anion generation	2	2	2	0.17350
GO:0006218	uridine catabolic process	1	1	1	0.17369
GO:0010167	response to nitrate	195	195	195	0.17398
GO:0009435	NAD biosynthetic process	4	4	4	0.17420
GO:0010039	response to iron ion	52	52	52	0.17437
GO:0042939	tripeptide transport	6	6	6	0.17604
GO:0010102	lateral root morphogenesis	49	49	49	0.17642
GO:0071475	cellular hyperosmotic salinity response	1	1	1	0.17647
GO:0010501	RNA secondary structure unwinding	2	2	2	0.17667
GO:0071435	potassium ion export	1	1	1	0.17671
GO:0070588	calcium ion transmembrane transport	1	1	1	0.17671
GO:0048544	recognition of pollen	2	2	2	0.17692
GO:0006006	glucose metabolic process	250	250	250	0.17733
GO:0002215	defense response to nematode	2	2	2	0.17857
GO:0006075	(1->3)-beta-D-glucan biosynthetic process	13	13	13	0.17949
GO:0009816	defense response to bacterium, incompatible interaction	35	35	35	0.17975
GO:0015670	carbon dioxide transport	1	1	1	0.17977
GO:0030639	polyketide biosynthetic process	1	1	1	0.18043
GO:0048589	developmental growth	653	653	653	0.18098
GO:0006897	endocytosis	30	30	30	0.18164
GO:0043144	snoRNA processing	2	2	2	0.18165
GO:0001682	tRNA 5'-leader removal	2	2	2	0.18165
GO:0019544	arginine catabolic process to glutamate	2	2	2	0.18270
GO:0009451	RNA modification	321	321	321	0.18308
GO:1902325	negative regulation of chlorophyll biosynthetic process	1	1	1	0.18316
GO:0009715	chalcone biosynthetic process	1	1	1	0.18337
GO:0006406	mRNA export from nucleus	60	60	60	0.18396
GO:0009960	endosperm development	22	22	22	0.18401
GO:0010345	suberin biosynthetic process	10	10	10	0.18424
GO:0016048	detection of temperature stimulus	1	1	1	0.18445
GO:0009856	pollination	191	191	191	0.18455
GO:0009306	protein secretion	18	18	18	0.18467
GO:0007142	male meiosis II	1	1	1	0.18470
GO:0030149	sphingolipid catabolic process	5	5	5	0.18501
GO:0032981	mitochondrial respiratory chain complex I assembly	1	1	1	0.18546
GO:0048833	specification of floral organ number	2	2	2	0.18571
GO:0042177	negative regulation of protein catabolic process	1	1	1	0.18659
GO:0009423	chorismate biosynthetic process	3	3	3	0.18693
GO:0006792	regulation of sulfur utilization	1	1	1	0.18697
GO:1990069	stomatal opening	4	4	4	0.18749
GO:0009737	response to abscisic acid	589	589	589	0.18847
GO:0042256	mature ribosome assembly	1	1	1	0.18879
GO:0072708	response to sorbitol	2	2	2	0.18888
GO:0010199	organ boundary specification between lateral organs and the meristem	5	5	5	0.18896
GO:0051260	protein homooligomerization	10	10	10	0.18940
GO:0031567	mitotic cell size control checkpoint	2	2	2	0.18960
GO:0050776	regulation of immune response	407	407	407	0.19025
GO:0045947	negative regulation of translational initiation	1	1	1	0.19054
GO:0008202	steroid metabolic process	238	238	238	0.19110
GO:0006544	glycine metabolic process	58	58	58	0.19123
GO:0009553	embryo sac development	227	227	227	0.19141
GO:2000694	regulation of phragmoplast microtubule organization	1	1	1	0.19144
GO:0060236	regulation of mitotic spindle organization	1	1	1	0.19144
GO:0032467	positive regulation of cytokinesis	1	1	1	0.19144
GO:0046916	cellular transition metal ion homeostasis	39	39	39	0.19150
GO:0080184	response to phenylpropanoid	1	1	1	0.19165
GO:0006813	potassium ion transport	42	42	42	0.19171
GO:0009062	fatty acid catabolic process	210	210	210	0.19172
GO:0009956	radial pattern formation	17	17	17	0.19172
GO:0006907	pinocytosis	1	1	1	0.19182
GO:0071108	protein K48-linked deubiquitination	1	1	1	0.19199
GO:0044090	positive regulation of vacuole organization	1	1	1	0.19199
GO:0070536	protein K63-linked deubiquitination	1	1	1	0.19199
GO:0090316	positive regulation of intracellular protein transport	2	2	2	0.19200
GO:0009813	flavonoid biosynthetic process	200	200	200	0.19250
GO:0010234	anther wall tapetum cell fate specification	1	1	1	0.19281
GO:0045770	positive regulation of asymmetric cell division	1	1	1	0.19376
GO:0048103	somatic stem cell division	1	1	1	0.19376
GO:0031936	negative regulation of chromatin silencing	1	1	1	0.19389
GO:0051259	protein oligomerization	18	18	18	0.19422
GO:0009690	cytokinin metabolic process	57	57	57	0.19460
GO:0048519	negative regulation of biological process	1211	1211	1211	0.19466
GO:0046907	intracellular transport	1032	1032	1032	0.19478
GO:2001006	regulation of cellulose biosynthetic process	2	2	2	0.19489
GO:0044206	UMP salvage	2	2	2	0.19489
GO:1901141	regulation of lignin biosynthetic process	3	3	3	0.19491
GO:0006814	sodium ion transport	34	34	34	0.19501
GO:0006580	ethanolamine metabolic process	1	1	1	0.19545
GO:0016925	protein sumoylation	17	17	17	0.19603
GO:0010608	posttranscriptional regulation of gene expression	263	263	263	0.19606
GO:2000280	regulation of root development	32	32	32	0.19667
GO:0000245	spliceosomal complex assembly	3	3	3	0.19668
GO:0033523	histone H2B ubiquitination	4	4	4	0.19727
GO:0009610	response to symbiotic fungus	37	37	37	0.19865
GO:0006511	ubiquitin-dependent protein catabolic process	313	313	313	0.19904
GO:0043457	regulation of cellular respiration	1	1	1	0.19909
